proper,HR,RA2000,DEJ2000,Vmag
NA,9077,0.0053,-44.290561,6.28
NA,9078,0.006638,26.918108,6.43
NA,9079,0.008593,59.559679,6.18
NA,9080,0.012119,45.253334,6.36
NA,9081,0.017941,-48.809876,5.71
NA,9083,0.022013,49.981558,6.22
NA,9082,0.022255,-50.337373,5.53
NA,9084,0.026616,-77.065724,4.78
NA,9085,0.026949,61.222801,5.58
NA,9086,0.028847,42.367144,6.25
NA,9087,0.030402,-3.027504,5.13
NA,9089,0.032672,-6.014072,4.37
NA,9088,0.036139,27.082256,5.8
NA,9091,0.038867,-29.720414,5.04
NA,9092,0.040046,8.956824,6.33
NA,9093,0.041584,8.485463,5.7
NA,9094,0.043357,66.098966,5.87
NA,9095,0.049301,-20.045882,6.25
NA,9096,0.052181,-24.145145,6.46
NA,9097,0.057143,63.64052,6.24
NA,9098,0.06233,-17.335988,4.55
NA,9099,0.064342,66.712183,6.31
NA,9100,0.070462,62.287664,5.9
NA,9101,0.072165,-16.529036,5.78
NA,9102,0.07231,-29.268822,6.38
NA,9103,0.075033,-10.509523,4.99
NA,9106,0.075148,-72.897321,7.33
NA,9105,0.07683,42.09253,6.11
NA,9108,0.078131,-71.436891,5.59
NA,9104,0.078304,67.166445,5.68
NA,9107,0.081573,34.659797,6.09
NA,9109,0.08222,26.648764,6.25
NA,2,0.084395,-0.503035,6.32
NA,9110,0.085039,61.31397,5.8
NA,1,0.086046,45.229029,6.71
NA,3,0.088928,-5.707618,4.61
NA,4,0.094989,13.396266,5.55
NA,5,0.104356,58.436733,5.98
NA,6,0.105277,-49.075191,5.7
NA,7,0.10737,64.196168,5.57
NA,8,0.110209,29.021502,6.07
NA,9,0.113911,-23.10754,6.19
NA,10,0.121741,-17.38699,6.2
NA,11,0.12892,-2.548679,6.43
NA,12,0.129693,-22.50856,5.93
NA,13,0.134303,-33.529326,5.67
NA,14,0.136693,-2.447711,6.18
NA,16,0.138204,-8.824112,5.99
Alpheratz,15,0.139791,29.090432,2.07
NA,18,0.142638,-17.578155,6.11
NA,17,0.14471,36.627125,6.21
NA,19,0.147814,25.462985,6.24
NA,22,0.150672,18.211963,5.57
NA,23,0.15066,-54.001931,6.32
Caph,21,0.152887,59.14978,2.28
NA,20,0.155525,79.714545,6.01
NA,24,0.155851,-27.987928,5.42
NA,25,0.156836,-45.747426,3.88
NA,26,0.167278,11.145813,5.54
NA,30,0.167293,-82.224047,5.29
NA,29,0.171908,-5.248588,5.84
NA,27,0.172012,46.072272,5.01
NA,28,0.174909,57.165494,6.74
NA,32,0.177328,-73.224389,6.66
NA,31,0.178565,-12.579897,5.84
NA,33,0.187739,-15.467977,4.89
NA,34,0.192894,-27.799737,5.41
NA,35,0.195552,-35.133119,5.24
NA,36,0.199741,48.152396,6.18
NA,37,0.202773,-17.938278,5.29
NA,38,0.213957,37.693656,6.71
Algenib,39,0.220598,15.183596,2.83
NA,47,0.222099,-84.993978,5.78
NA,40,0.223312,26.987545,6.24
NA,41,0.22524,41.03537,5.71
NA,42,0.228401,-26.022345,5.94
NA,43,0.228994,-26.284959,6.14
NA,44,0.233967,33.206039,6.22
NA,46,0.241008,-7.780532,5.13
NA,45,0.243378,20.206702,4.79
NA,48,0.244005,-18.932866,4.44
NA,51,0.248476,-9.569571,5.77
NA,49,0.24886,22.284225,6.25
NA,54,0.249515,-34.904223,6.17
NA,50,0.249677,8.820962,6.02
NA,52,0.25193,31.535725,6.34
NA,53,0.252934,27.28344,6.35
NA,58,0.265257,-75.911615,6.49
NA,57,0.269126,-31.446394,5.66
NA,55,0.270527,76.950755,6.35
NA,56,0.272645,43.595049,6.12
NA,59,0.276122,8.240154,6.12
NA,61,0.278429,-20.210061,6.5
NA,64,0.280064,-78.780154,6.78
NA,60,0.282513,61.533185,5.74
NA,63,0.284863,38.681636,4.61
NA,62,0.285845,47.947405,5.86
NA,66,0.292417,-19.051092,6.46
NA,65,0.295295,51.43309,6.11
NA,67,0.296583,1.688727,6.19
NA,69,0.304791,11.206214,6.07
NA,68,0.305463,36.785224,4.51
NA,71,0.310625,31.517227,5.88
NA,72,0.311629,-8.053001,6.47
NA,70,0.311712,43.791141,6.1
NA,73,0.31182,-43.235571,6.33
NA,74,0.323799,-8.823921,3.56
NA,75,0.328212,40.729461,6.35
NA,77,0.334142,-64.874791,4.23
NA,76,0.334769,48.865449,6.53
NA,78,0.340111,30.935614,5.89
NA,80,0.343295,8.190271,5.38
NA,83,0.344178,-69.624913,5.5
NA,79,0.345978,32.911186,5.79
NA,81,0.348498,10.976901,6.57
NA,82,0.352017,37.968603,5.16
NA,87,0.357986,-77.426873,5.96
NA,84,0.358665,-28.981469,5.18
NA,85,0.362853,-20.058024,5.61
NA,86,0.373745,13.482488,6.25
NA,88,0.381051,-12.209438,6.39
NA,89,0.386835,-31.035775,6.55
NA,90,0.400542,38.577035,10.71
NA,91,0.404348,52.019914,5.58
NA,94,0.408236,-2.219064,6.08
NA,93,0.413193,61.831057,5.38
NA,96,0.418445,53.046786,5.72
